experiment,final_test_acc,best_test_acc
"SimCLR (Phase 1, 200ep, probe)",86.34,86.70
"SimCLR extended (Phase 1b, 600ep, probe)",88.56,88.88
Supervised (Phase 2),91.47,92.54
"Random-init (Phase 3, probe)",41.39,41.76
SimCLR tau=0.1 (Phase 4),84.09,84.35
SimCLR tau=1.0 (Phase 4),86.41,86.76
SimCLR tau=5.0 (Phase 4),81.30,81.33
SimCLR bs=128 (Phase 5),87.27,87.27
SimCLR bs=64 (Phase 5),87.08,87.12
SimCLR bs=32 (Phase 5),86.22,86.34
SimCLR aug=no_color (Phase 6),81.54,81.73
SimCLR aug=no_gray (Phase 6),80.49,80.85
SimCLR aug=crop_only (Phase 6),65.04,65.18
SimCLR aug=stronger (Phase 6),86.43,86.60
"A: +proj, probe h (Phase 7)",86.58,86.73
"B: no-proj, probe h (Phase 7)",83.64,83.71
"C: +proj, probe z (Phase 7)",82.92,83.09
Transfer: cifar100 / simclr (Phase 8),49.72,50.07
Transfer: cifar100 / supervised (Phase 8),48.51,48.84
Transfer: cifar100 / random (Phase 8),18.80,19.48
Transfer: stl10 / simclr (Phase 8),74.70,74.76
Transfer: stl10 / supervised (Phase 8),78.42,78.77
Transfer: stl10 / random (Phase 8),36.73,37.40
